Age,Preference,SlNo,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,Percentile_ET,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Placement,Salary,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
Teen,Yes,1,M,62,Others,88,Others,Commerce,52,Science,0,MAT,55,58.8,Marketing & HR,50,65,74,Placed,270000,FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138
Teen,Yes,2,M,76.33,ICSE,75.33,Others,Science,75.48,Computer Applications,1,MAT,86.5,66.28,Marketing & Finance,69,70,75,Placed,200000,DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228
Teen,Yes,3,M,72,Others,78,Others,Commerce,66.63,Engineering,0,,0,52.91,Marketing & Finance,50,61,59,Placed,240000,FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27
Teen,Yes,4,M,60,CBSE,63,CBSE,Arts,58,Management,0,MAT,75,57.8,Marketing & Finance,54,66,62,Placed,250000,FDX07,19.2,Regular,0,Fruits and Vegetables,182.095,OUT010,1998,,Tier 3,Grocery Store,732.38
Teen,Yes,5,M,61,CBSE,55,ISC,Science,54,Engineering,1,MAT,66,59.43,Marketing & HR,52,65,67,Placed,180000,NCD19,8.93,Low Fat,0,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052
Teen,Yes,6,M,55,ICSE,64,CBSE,Commerce,50,Commerce,0,,0,56.81,Marketing & Finance,53,70,53,Placed,300000,FDP36,10.395,Regular,0,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088
Teen,Yes,7,F,70,Others,54,Others,Science,65,Others,2,,0,59.8,Marketing & HR,63,56,50,Placed,260000,FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528
Teen,Yes,8,M,68,ICSE,77,ISC,Commerce,72.5,Management,0,MAT,43.12,57.23,Marketing & Finance,74,72,50,Placed,235000,FDP10,,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636
Teen,Yes,9,M,82.8,CBSE,70.6,CBSE,Commerce,69.3,Commerce,0,MAT,96.8,55.5,Marketing & Finance,65,76,70,Placed,425000,FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,,Tier 2,Supermarket Type1,1076.5986
Teen,Yes,10,F,59,CBSE,74,CBSE,Arts,59,Management,1,,0,63.83,Marketing & HR,50,59,77,Placed,240000,FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,,Tier 2,Supermarket Type1,4710.535
Teen,Yes,11,F,79.6,Others,87,ISC,Commerce,72.35,Management,0,K-MAT,98.69,69.78,Marketing & HR,71,67,60,Not Placed,0,FDY07,11.8,Low Fat,0,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266
Teen,No,12,M,58,Others,59,Others,Commerce,48,Commerce,0,MAT,79,54.01,Marketing & Finance,54,78,54,Placed,250000,FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153
Teen,No,13,M,60,Others,52.8,Others,Science,73.25,Computer Applications,1,MAT,55,51.58,Marketing & Finance,53,52,58,Placed,180000,FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646
Teen,No,14,M,66,CBSE,66.33,CBSE,Commerce,66.72,Commerce,0,,0,66.92,Marketing & Finance,70,73,64,Placed,428000,FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076
Teen,No,15,M,83,Others,51,Others,Science,51,Engineering,0,CAT,33,58.21,Marketing & HR,50,68,63,Placed,450000,FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426
Teen,No,16,F,49,Others,52.2,Others,Commerce,85,Commerce,0,MAT,74.28,53.29,Marketing & Finance,50,65,74,Not Placed,0,FDP49,9,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192
Teen,Yes,17,M,68,Others,80,Others,Commerce,70,Commerce,0,,0,58.94,Marketing & Finance,54,56,50,Placed,300000,NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888
Teen,Yes,18,M,37.33,Others,47.4,Others,Commerce,35.5,Commerce,0,,0,54.78,Marketing & HR,50,57,50,Placed,240000,FDP49,9,Regular,0.069196376,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982
